timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
41207043,41.207043,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,156,1693,1693,0,1,0,0,0,0,,False,
41207046,41.207046,AUDIO_CAN_SEND_NOW,0x0040,0x0041,156,1693,1693,0,1,5,0,0,0,,False,
41207324,41.207324,AUDIO_PACKET_SENT,0x0040,0x0041,156,1693,1693,0,1,276,0,22,0,,False,
41207327,41.207327,AUDIO_BUSY_CLEAR,0x0040,0x0041,156,1693,1693,0,0,286,3,0,0,busy_context=3,False,
41207330,41.207330,AUDIO_L2CAP_SEND,0x0040,0x0041,156,1693,1693,0,0,0,0,161,0,sdu_size=161,False,
41224914,41.224914,AUDIO_SDU_GENERATED,0xffff,0x0000,157,1694,1693,1,0,20001,0,0,0,,False,
41225820,41.225820,AUDIO_BUSY_SET,0x0040,0x0041,157,1694,1694,0,1,0,2,0,0,busy_context=2,False,
41225822,41.225822,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,157,1694,1694,0,1,0,0,0,0,,False,
41225826,41.225826,AUDIO_CAN_SEND_NOW,0x0040,0x0041,157,1694,1694,0,1,6,0,0,0,,False,
41226104,41.226104,AUDIO_PACKET_SENT,0x0040,0x0041,157,1694,1694,0,1,276,0,22,0,,False,
41226107,41.226107,AUDIO_BUSY_CLEAR,0x0040,0x0041,157,1694,1694,0,0,286,3,0,0,busy_context=3,False,
41226110,41.226110,AUDIO_L2CAP_SEND,0x0040,0x0041,157,1694,1694,0,0,0,0,161,0,sdu_size=161,False,
41244913,41.244913,AUDIO_SDU_GENERATED,0xffff,0x0000,158,1695,1694,1,0,19998,0,0,0,,False,
41247043,41.247043,AUDIO_BUSY_SET,0x0040,0x0041,158,1695,1695,0,1,0,2,0,0,busy_context=2,False,
41247044,41.247044,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,158,1695,1695,0,1,0,0,0,0,,False,
41247048,41.247048,AUDIO_CAN_SEND_NOW,0x0040,0x0041,158,1695,1695,0,1,6,0,0,0,,False,
41247362,41.247362,AUDIO_PACKET_SENT,0x0040,0x0041,158,1695,1695,0,1,312,0,22,0,,False,
41247364,41.247364,AUDIO_BUSY_CLEAR,0x0040,0x0041,158,1695,1695,0,0,321,3,0,0,busy_context=3,False,
41247368,41.247368,AUDIO_L2CAP_SEND,0x0040,0x0041,158,1695,1695,0,0,0,0,161,0,sdu_size=161,False,
41264917,41.264917,AUDIO_SDU_GENERATED,0xffff,0x0000,159,1696,1695,1,0,20005,0,0,0,,False,
41266857,41.266857,AUDIO_BUSY_SET,0x0040,0x0041,159,1696,1696,0,1,0,2,0,0,busy_context=2,False,
41266859,41.266859,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,159,1696,1696,0,1,0,0,0,0,,False,
41266863,41.266863,AUDIO_CAN_SEND_NOW,0x0040,0x0041,159,1696,1696,0,1,6,0,0,0,,False,
41267141,41.267141,AUDIO_PACKET_SENT,0x0040,0x0041,159,1696,1696,0,1,276,0,21,0,,False,
41267143,41.267143,AUDIO_BUSY_CLEAR,0x0040,0x0041,159,1696,1696,0,0,286,3,0,0,busy_context=3,False,
41267147,41.267147,AUDIO_L2CAP_SEND,0x0040,0x0041,159,1696,1696,0,0,0,0,161,0,sdu_size=161,False,
41284917,41.284917,AUDIO_SDU_GENERATED,0xffff,0x0000,160,1697,1696,1,0,19999,0,0,0,,False,
41285341,41.285341,RSSI_SAMPLE,0x0040,0x0041,159,1697,1696,1,0,0,-78,0,0,rssi_dbm=-78,False,
41286507,41.286507,AUDIO_BUSY_SET,0x0040,0x0041,160,1697,1697,0,1,0,2,0,0,busy_context=2,False,
41286508,41.286508,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,160,1697,1697,0,1,0,0,0,0,,False,
41286511,41.286511,AUDIO_CAN_SEND_NOW,0x0040,0x0041,160,1697,1697,0,1,6,0,0,0,,False,
41286790,41.286790,AUDIO_PACKET_SENT,0x0040,0x0041,160,1697,1697,0,1,276,0,21,0,,False,
41286792,41.286792,AUDIO_BUSY_CLEAR,0x0040,0x0041,160,1697,1697,0,0,285,3,0,0,busy_context=3,False,
41286796,41.286796,AUDIO_L2CAP_SEND,0x0040,0x0041,160,1697,1697,0,0,0,0,161,0,sdu_size=161,False,
41304914,41.304914,AUDIO_SDU_GENERATED,0xffff,0x0000,161,1698,1697,1,0,19997,0,0,0,,False,
41306454,41.306454,AUDIO_BUSY_SET,0x0040,0x0041,161,1698,1698,0,1,0,2,0,0,busy_context=2,False,
41306456,41.306456,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,161,1698,1698,0,1,0,0,0,0,,False,
41306459,41.306459,AUDIO_CAN_SEND_NOW,0x0040,0x0041,161,1698,1698,0,1,6,0,0,0,,False,
41306738,41.306738,AUDIO_PACKET_SENT,0x0040,0x0041,161,1698,1698,0,1,276,0,22,0,,False,
41306740,41.306740,AUDIO_BUSY_CLEAR,0x0040,0x0041,161,1698,1698,0,0,286,3,0,0,busy_context=3,False,
41306744,41.306744,AUDIO_L2CAP_SEND,0x0040,0x0041,161,1698,1698,0,0,0,0,161,0,sdu_size=161,False,
41324913,41.324913,AUDIO_SDU_GENERATED,0xffff,0x0000,162,1699,1698,1,0,19999,0,0,0,,False,
41326236,41.326236,AUDIO_BUSY_SET,0x0040,0x0041,162,1699,1699,0,1,0,2,0,0,busy_context=2,False,
41326237,41.326237,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,162,1699,1699,0,1,0,0,0,0,,False,
41326241,41.326241,AUDIO_CAN_SEND_NOW,0x0040,0x0041,162,1699,1699,0,1,6,0,0,0,,False,
41326519,41.326519,AUDIO_PACKET_SENT,0x0040,0x0041,162,1699,1699,0,1,276,0,22,0,,False,
41326522,41.326522,AUDIO_BUSY_CLEAR,0x0040,0x0041,162,1699,1699,0,0,285,3,0,0,busy_context=3,False,
41326525,41.326525,AUDIO_L2CAP_SEND,0x0040,0x0041,162,1699,1699,0,0,0,0,161,0,sdu_size=161,False,
41344916,41.344916,AUDIO_SDU_GENERATED,0xffff,0x0000,163,1700,1699,1,0,20003,0,0,0,,False,
41346476,41.346476,AUDIO_BUSY_SET,0x0040,0x0041,163,1700,1700,0,1,0,2,0,0,busy_context=2,False,
41346478,41.346478,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,163,1700,1700,0,1,0,0,0,0,,False,
41346481,41.346481,AUDIO_CAN_SEND_NOW,0x0040,0x0041,163,1700,1700,0,1,6,0,0,0,,False,
41346760,41.346760,AUDIO_PACKET_SENT,0x0040,0x0041,163,1700,1700,0,1,276,0,22,0,,False,
41346762,41.346762,AUDIO_BUSY_CLEAR,0x0040,0x0041,163,1700,1700,0,0,286,3,0,0,busy_context=3,False,
41346766,41.346766,AUDIO_L2CAP_SEND,0x0040,0x0041,163,1700,1700,0,0,0,0,161,0,sdu_size=161,False,
